timestamp,nose_y,nose_z,shoulder_y,shoulder_z,dY,dZ,status,hp
1772327562.61,0.5226,-1.3475,0.8373,-0.4834,0.3147,-0.8641,0,100
1772327563.12,0.5206,-1.1991,0.8382,-0.4072,0.3175,-0.7919,0,100
1772327563.62,0.5189,-1.2094,0.8389,-0.4058,0.3199,-0.8036,0,100
1772327564.14,0.5251,-1.2428,0.839,-0.4182,0.3138,-0.8246,0,100
1772327564.65,0.5267,-1.2753,0.8385,-0.4465,0.3118,-0.8288,0,100
1772327565.16,0.5283,-1.2672,0.8385,-0.4292,0.3102,-0.838,0,100
1772327565.71,0.526,-1.286,0.8381,-0.4214,0.3121,-0.8646,0,100
1772327566.25,0.484,-1.07,0.8144,-0.2265,0.3304,-0.8435,0,100
1772327566.79,0.4961,-1.0089,0.8027,-0.1688,0.3066,-0.8401,0,100
1772327567.35,0.4576,-0.9217,0.7754,-0.1808,0.3178,-0.7409,0,100
1772327567.86,0.4688,-1.0376,0.7711,-0.2245,0.3023,-0.8132,0,100
1772327568.42,0.4731,-1.0274,0.7754,-0.2459,0.3022,-0.7815,0,100
1772327568.94,0.4671,-1.0097,0.7745,-0.233,0.3074,-0.7768,0,100
1772327569.47,0.4665,-1.0178,0.7749,-0.222,0.3084,-0.7958,0,100
1772327569.99,0.5297,-0.8556,0.7808,-0.1956,0.2511,-0.6601,1,91
1772327570.5,0.5408,-0.7795,0.7771,-0.15,0.2363,-0.6295,1,79
1772327571.03,0.5362,-0.9035,0.7854,-0.2233,0.2493,-0.6802,1,67
1772327571.57,0.4645,-1.1372,0.7773,-0.3345,0.3128,-0.8027,0,64
1772327572.12,0.4632,-1.1217,0.7854,-0.2566,0.3223,-0.865,0,68
1772327572.63,0.4613,-1.123,0.7866,-0.2458,0.3253,-0.8772,0,71
1772327573.19,0.4607,-1.1178,0.7873,-0.2637,0.3266,-0.8541,0,76
1772327573.7,0.4603,-1.1731,0.7873,-0.3031,0.3269,-0.87,0,80
1772327574.2,0.5016,-0.7806,0.7502,-0.1747,0.2486,-0.6059,1,74
1772327574.71,0.5168,-0.7628,0.7547,-0.1527,0.2379,-0.6101,1,62
1772327575.24,0.5229,-0.7855,0.7578,-0.1614,0.2348,-0.6241,1,50
1772327575.79,0.5223,-0.8512,0.7578,-0.1693,0.2355,-0.6819,1,38
1772327576.29,0.5211,-0.8444,0.7576,-0.1693,0.2365,-0.675,1,26
1772327576.83,0.521,-0.7791,0.7583,-0.1614,0.2373,-0.6177,1,14
1772327577.34,0.5214,-0.8008,0.7587,-0.153,0.2373,-0.6478,1,2
1772327577.86,0.5219,-0.8454,0.7597,-0.1673,0.2379,-0.6781,1,0
1772327578.39,0.5203,-0.8224,0.758,-0.1604,0.2377,-0.662,1,0
1772327578.91,0.4648,-1.0186,0.7886,-0.2524,0.3237,-0.7662,0,2
1772327579.42,0.4606,-1.1563,0.786,-0.282,0.3255,-0.8743,0,6
1772327579.95,0.4586,-1.242,0.7856,-0.3443,0.327,-0.8977,0,10
1772327580.49,0.4569,-1.1794,0.7776,-0.2789,0.3207,-0.9005,0,12
1772327581.02,0.5565,-1.485,0.7752,-0.458,0.2187,-1.027,1,0
1772327581.54,0.6209,-1.5429,0.788,-0.5274,0.1671,-1.0155,1,0
1772327582.06,0.5587,-1.4232,0.7833,-0.4374,0.2247,-0.9858,1,0
1772327582.59,0.4292,-1.4074,0.7788,-0.522,0.3496,-0.8854,0,3
1772327583.11,0.4258,-1.3614,0.771,-0.4113,0.3452,-0.95,1,0
1772327583.62,0.44,-1.2113,0.7699,-0.3159,0.3299,-0.8954,0,0
1772327584.13,0.4438,-1.2835,0.7716,-0.4044,0.3278,-0.8791,0,4
1772327584.66,0.4463,-1.3004,0.7718,-0.4224,0.3255,-0.878,0,8
1772327585.19,0.446,-1.3438,0.7732,-0.4552,0.3272,-0.8886,0,12
1772327585.71,0.4458,-1.3111,0.7735,-0.4371,0.3277,-0.874,0,16
1772327586.27,0.4461,-1.2653,0.773,-0.3946,0.3269,-0.8707,0,20
1772327586.84,0.4464,-1.2441,0.774,-0.3912,0.3276,-0.8528,0,23
1772327587.4,0.446,-1.1935,0.7742,-0.3675,0.3282,-0.826,0,27
1772327587.96,0.4456,-1.1318,0.7737,-0.3066,0.3281,-0.8252,0,31
1772327588.48,0.4452,-1.1375,0.7739,-0.3113,0.3286,-0.8262,0,35
1772327589.03,0.4445,-1.2071,0.7747,-0.3503,0.3303,-0.8568,0,39
1772327589.56,0.4441,-1.1585,0.7742,-0.3341,0.3301,-0.8244,0,43
1772327590.12,0.4441,-1.2182,0.774,-0.3635,0.3299,-0.8547,0,48
1772327590.67,0.4439,-1.1798,0.7731,-0.3455,0.3292,-0.8343,0,52
1772327591.18,0.4444,-1.1812,0.7741,-0.3433,0.3297,-0.8379,0,56
1772327591.68,0.4443,-1.1415,0.7745,-0.3006,0.3302,-0.8409,0,60
1772327592.22,0.4514,-1.2173,0.7752,-0.359,0.3238,-0.8583,0,64
1772327592.75,0.4588,-1.0887,0.7709,-0.2653,0.3122,-0.8235,0,68
1772327593.3,0.4933,-1.0879,0.7708,-0.2287,0.2774,-0.8592,1,64
1772327593.86,0.5195,-1.188,0.7727,-0.2767,0.2533,-0.9113,1,50
1772327594.38,0.5623,-1.273,0.7763,-0.3684,0.214,-0.9047,1,38
1772327594.91,0.4648,-1.2972,0.7801,-0.4095,0.3153,-0.8877,0,28
1772327595.41,0.4387,-1.2543,0.7815,-0.3591,0.3429,-0.8952,0,32
1772327595.95,0.4394,-1.2959,0.7805,-0.371,0.3411,-0.9249,1,26
1772327596.48,0.4928,-1.3995,0.7793,-0.4226,0.2865,-0.9769,1,14
1772327596.98,0.5631,-1.3197,0.7847,-0.3663,0.2217,-0.9534,1,2
1772327597.49,0.4456,-1.2893,0.7791,-0.3856,0.3335,-0.9037,0,1
1772327597.99,0.4388,-1.2418,0.7776,-0.3449,0.3388,-0.8969,0,5
1772327598.56,0.439,-1.2131,0.7767,-0.3198,0.3377,-0.8933,0,10
1772327599.09,0.4392,-1.2686,0.7771,-0.3506,0.3379,-0.918,0,14
1772327599.62,0.4404,-1.1841,0.7768,-0.3022,0.3363,-0.8818,0,18
1772327600.12,0.4435,-1.2588,0.7764,-0.3542,0.333,-0.9045,0,22
1772327600.63,0.4444,-1.2746,0.7759,-0.3515,0.3315,-0.9231,1,22
1772327601.19,0.4441,-1.2109,0.7759,-0.3155,0.3318,-0.8954,0,26
1772327601.72,0.4148,-1.1921,0.7634,-0.3333,0.3486,-0.8588,0,23
1772327602.29,0.3658,-1.3679,0.7526,-0.4771,0.3869,-0.8908,0,26
1772327602.85,0.3522,-1.3502,0.7557,-0.4421,0.4034,-0.9081,0,30
1772327603.39,0.3563,-1.3565,0.7617,-0.4696,0.4054,-0.8869,0,33
1772327603.93,0.368,-1.4156,0.7675,-0.5188,0.3995,-0.8969,0,33
1772327604.48,0.3737,-1.4479,0.7687,-0.5254,0.395,-0.9225,1,32
1772327605.06,0.3741,-1.3977,0.7686,-0.5026,0.3945,-0.8951,0,32
1772327605.62,0.3775,-1.3764,0.7682,-0.4278,0.3907,-0.9487,1,31
1772327606.19,0.3787,-1.39,0.7689,-0.4542,0.3902,-0.9358,1,21
1772327606.7,0.3792,-1.3797,0.7647,-0.4372,0.3855,-0.9425,1,12
1772327607.25,0.3738,-1.3082,0.7585,-0.4253,0.3847,-0.8829,0,13
1772327607.77,0.3732,-1.297,0.757,-0.3965,0.3838,-0.9005,0,17
1772327608.32,0.3754,-1.2775,0.7555,-0.394,0.3801,-0.8835,0,20
1772327608.86,0.3738,-1.3381,0.7533,-0.4117,0.3795,-0.9264,1,20
1772327609.38,0.3729,-1.361,0.7504,-0.4096,0.3775,-0.9514,1,9
1772327609.93,0.372,-1.3096,0.7497,-0.3903,0.3777,-0.9193,0,7
1772327610.46,0.3744,-1.2351,0.7479,-0.3429,0.3735,-0.8921,0,8
1772327611.01,0.3757,-1.2562,0.7507,-0.3585,0.375,-0.8977,0,12
1772327611.54,0.3811,-1.2774,0.7487,-0.363,0.3676,-0.9144,0,15
1772327612.08,0.3838,-1.2392,0.7479,-0.3426,0.3641,-0.8966,0,15
1772327612.64,0.383,-1.1965,0.7534,-0.3363,0.3704,-0.8602,0,18
1772327613.2,0.3832,-1.3152,0.7586,-0.3875,0.3754,-0.9277,1,20
